Date,Open,High,Low,Close,Adj Close,Volume
21/5/2018,22.34,22.34,22,22.09,21.83773,6349800
22/5/2018,22.120001,22.26,22.01,22.07,21.817959,8676700
23/5/2018,21.870001,21.9,21.549999,21.9,21.649899,9814200
24/5/2018,21.799999,21.98,21.440001,21.92,21.669672,8251800
25/5/2018,21.860001,21.98,21.799999,21.91,21.659786,7733100
29/5/2018,21.74,21.780001,21.200001,21.299999,21.056751,13208500
30/5/2018,22.4,22.48,21.040001,22.16,21.906931,18182000
31/5/2018,22.110001,22.32,21.959999,22.030001,21.778416,15182500
1/6/2018,22.139999,22.709999,22.110001,22.68,22.420992,9187800
4/6/2018,22.700001,22.83,22.6,22.74,22.480309,8164800
5/6/2018,22.84,23.5,22.780001,23.42,23.152542,14278000
6/6/2018,23.52,23.6,23.18,23.51,23.241514,10129200
7/6/2018,23.530001,23.700001,23.370001,23.549999,23.281057,9292400
8/6/2018,23.4,23.75,23.4,23.709999,23.43923,6778800
11/6/2018,23.68,24.200001,23.65,24.01,23.735806,9149100
12/6/2018,23.99,23.99,23.549999,23.620001,23.486521,6088400
13/6/2018,23.620001,23.75,23.540001,23.540001,23.406973,8073200
14/6/2018,23.629999,23.99,23.629999,23.799999,23.665503,8243000
15/6/2018,23.700001,23.700001,23.440001,23.59,23.45669,13022800
18/6/2018,23.370001,23.75,23.299999,23.65,23.51635,5550200
19/6/2018,23.309999,23.57,23.16,23.52,23.387087,8855500
20/6/2018,23.6,23.690001,23.299999,23.299999,23.168327,6834400
21/6/2018,23.540001,23.620001,23.309999,23.5,23.367199,8911800
22/6/2018,23.65,23.9,23.59,23.799999,23.665503,14816900
25/6/2018,23.629999,23.76,22.940001,23.09,22.959517,8785300
26/6/2018,23.129999,23.23,22.99,23.049999,22.919741,6863200
27/6/2018,22.98,23.17,22.809999,22.809999,22.681097,7520900
28/6/2018,22.83,22.85,22.35,22.67,22.541889,9800800
29/6/2018,22.799999,23.049999,22.67,22.690001,22.561777,7585900
2/7/2018,22.540001,22.860001,22.379999,22.860001,22.730816,5855900
3/7/2018,22.92,22.93,22.549999,22.59,22.462341,3619200
5/7/2018,22.82,22.99,22.450001,22.75,22.621437,7158600
6/7/2018,22.780001,23.219999,22.6,23.01,22.879969,5375100
9/7/2018,23.139999,23.440001,23.01,23.370001,23.237934,7057100
10/7/2018,23.360001,23.969999,23.360001,23.870001,23.735109,10481600
11/7/2018,23.65,23.709999,23.049999,23.059999,22.929686,6833500
12/7/2018,23.280001,23.620001,23.219999,23.530001,23.39703,6345400
13/7/2018,23.309999,23.77,23.299999,23.709999,23.576012,5150200
16/7/2018,23.690001,23.74,23.51,23.57,23.436804,3791500
